zipcode,averagePrice
8922,26
8917,29
8904,29.2857142857143
8033,33.3055555555556
8042,37.2
8040,42.5
8027,43.8776371308017
8020,45.3248730964467
8031,49.8837209302326
8016,50.9404761904762
