neighbourhood,averageRating
Valdemarín,100
Horcajo,100
Hellín,98.5833333333333
Amposta,98.2222222222222
Corralejos,98
Ambroz,97.1666666666667
Peñagrande,97.027027027027
Campamento,96.9411764705882
Estrella,96.7857142857143
Mirasierra,96.6538461538462
