neighbourhood,averagePrice
Butarque,35.9411764705882
Atalaya,39
Aeropuerto,40.7272727272727
Orcasur,40.8666666666667
Aluche,41.6153846153846
Palomeras Sureste,42.0909090909091
Horcajo,43
Zofío,46.4615384615385
Los Angeles,46.625
Moscardó,46.6823529411765
